Moisture_perc_10,Moisture_perc_30,Moisture_perc_80,mean_yeild_c_per_ha,pen_resist_10,pen_resist_30,pen_resist_80,temp_10,temp_30,temp_80
18.93,24.56,17.82,681.7,193.15,210.35,288.85,22.5,18.9,16.3
23.3,24.1,19.49,578.3,106.28,181.38,272.0,20.2,18.3,16.2
23.57,22.89,19.07,626.7,143.37,143.06,292.8,20.6,19.7,17.2
21.36,21.98,17.64,666.7,183.06,325.34,336.2,18.8,17.6,16.0
21.43,20.35,11.15,536.7,119.6,171.37,326.65,20.2,18.9,16.8
20.99,20.13,21.28,731.7,284.85,318.51,385.45,19.3,19.2,15.9
20.23,23.87,21.84,458.3,110.14,200.3,268.1,20.4,18.4,16.0
23.72,22.52,16.67,541.7,99.91,195.36,269.1,20.0,18.1,15.8
20.23,21.64,22.66,796.7,92.2,213.64,324.1,20.1,18.1,15.4
25.35,25.84,18.26,608.3,273.04,294.69,380.9,19.1,17.9,15.7
23.17,22.92,21.86,750.0,137.4,223.52,344.1,19.7,18.7,15.8
19.76,20.23,16.27,611.7,177.32,378.72,322.55,18.9,18.1,15.5
22.4,24.57,19.91,401.7,105.27,169.68,260.1,21.6,18.8,16.5
17.77,21.53,23.89,841.7,92.58,198.63,265.9,20.5,18.0,15.3
23.0,22.58,20.0,858.3,94.31,235.62,278.7,19.5,17.1,14.9
23.1,23.24,22.0,730.0,208.31,266.97,346.35,20.2,17.5,15.0
20.37,24.54,20.96,895.0,157.76,183.19,301.35,20.3,18.3,15.8
21.31,22.4,25.31,811.7,104.85,183.77,273.25,20.3,18.1,15.8
27.81,22.13,22.9,670.0,66.51,208.49,288.0,20.5,19.1,15.9
25.31,23.9,20.8,635.0,124.99,222.78,311.77,19.43,18.48,16.05
27.04,27.13,24.17,508.3,101.17,160.14,293.15,19.9,18.5,16.1
30.26,26.8,23.23,718.3,106.83,171.23,295.55,18.8,17.23,16.1
26.51,25.79,17.36,880.0,81.47,189.78,287.0,19.8,19.5,16.5
21.96,20.99,19.04,640.0,87.11,200.97,300.65,20.8,18.8,16.5
29.11,24.18,24.85,661.7,97.4,280.56,290.44,21.8,18.5,16.9
23.26,28.57,24.39,656.7,146.89,213.98,312.35,19.5,18.28,16.16
21.78,20.69,23.83,548.3,101.58,220.1,290.35,21.2,17.5,15.7
24.05,22.73,23.74,403.3,126.54,187.84,279.85,20.5,17.8,15.8
21.95,20.88,16.7,623.3,124.49,164.91,314.7,20.2,18.3,16.3
22.69,18.64,9.68,741.7,199.4,205.03,388.0,20.3,18.2,16.6
26.62,21.76,18.82,973.3,142.55,271.38,315.7,19.1,17.3,15.8
15.89,25.77,20.66,770.0,132.01,251.18,273.55,19.03,18.85,17.1
27.55,25.17,24.55,758.3,105.8,263.34,297.35,18.0,19.6,16.5
25.71,24.29,25.32,536.7,53.29,134.23,261.2,20.5,17.4,16.5
19.62,17.79,16.87,596.7,146.57,309.21,311.1,18.88,19.15,17.13
19.51,21.15,18.53,566.7,101.25,320.78,334.6,20.4,17.6,16.0
25.88,22.56,21.78,665.0,242.9,313.76,338.55,18.7,19.9,17.3
25.35,21.95,24.42,778.3,185.3,243.24,369.4,19.1,18.9,16.0
25.51,25.0,23.78,470.0,131.18,197.0,336.6,20.2,17.3,16.3
20.22,21.04,20.31,645.0,185.34,210.33,308.53,20.7,19.1,17.23
22.34,22.2,21.73,633.3,56.21,162.84,274.5,20.2,18.5,15.4
21.88,20.81,16.53,563.3,61.45,146.83,268.8,19.93,18.48,15.9
23.27,20.77,23.95,556.7,68.71,191.3,260.3,17.4,18.3,16.4
24.1,27.25,21.53,841.7,124.88,201.45,328.0,18.3,18.2,16.1
23.0,21.36,24.03,975.0,98.61,178.85,280.25,19.6,19.4,17.7
21.44,22.06,21.49,861.7,165.48,266.82,339.4,19.6,19.04,16.8
23.87,24.95,20.77,703.3,100.14,150.71,262.55,21.3,17.5,15.8
16.67,19.05,17.78,591.7,122.94,161.89,322.1,18.95,19.2,17.18
19.02,18.74,20.0,608.3,128.68,236.81,335.35,22.5,18.6,15.8
18.23,19.58,26.98,0.0,96.28,193.62,257.9,31.1,17.6,15.5
19.35,22.86,25.4,795.0,87.79,115.58,239.87,21.3,18.5,16.75
